2024-09-03 04:47:41 epoch: 0, loss: 2.2848589420318604
2024-09-03 04:53:41 epoch: 1, loss: 2.590428352355957
2024-09-03 04:59:33 epoch: 2, loss: 2.50848388671875
2024-09-03 05:05:31 epoch: 3, loss: 2.5241858959198
2024-09-03 05:11:26 epoch: 4, loss: 2.3449795246124268
2024-09-03 05:17:25 epoch: 5, loss: 2.43587064743042
2024-09-03 05:23:18 epoch: 6, loss: 2.4807722568511963
2024-09-03 05:29:15 epoch: 7, loss: 2.4472498893737793
2024-09-03 05:35:12 epoch: 8, loss: 2.338101625442505
2024-09-03 05:41:01 epoch: 9, loss: 2.3417928218841553
2024-09-03 05:46:56 epoch: 10, loss: 2.1941487789154053
2024-09-03 05:52:51 epoch: 11, loss: 2.474386692047119
2024-09-03 05:58:49 epoch: 12, loss: 2.357696771621704
2024-09-03 06:04:45 epoch: 13, loss: 2.141094446182251
2024-09-03 06:10:43 epoch: 14, loss: 2.5256540775299072
2024-09-03 06:16:41 epoch: 15, loss: 2.163989543914795
2024-09-03 06:22:39 epoch: 16, loss: 2.1301238536834717
2024-09-03 06:28:36 epoch: 17, loss: 2.543525457382202
2024-09-03 06:34:34 epoch: 18, loss: 2.32828688621521
2024-09-03 06:40:36 epoch: 19, loss: 2.274364471435547
