2024-08-25 13:18:59 epoch: 0, loss: 5.058863162994385
2024-08-25 13:45:03 epoch: 1, loss: 4.909423828125
2024-08-25 14:11:18 epoch: 2, loss: 4.6403937339782715
2024-08-25 14:37:18 epoch: 3, loss: 4.497616291046143
2024-08-25 15:03:32 epoch: 4, loss: 4.3662872314453125
2024-08-25 15:29:38 epoch: 5, loss: 4.232902526855469
2024-08-25 15:55:47 epoch: 6, loss: 4.00237512588501
2024-08-25 16:21:46 epoch: 7, loss: 3.8867828845977783
2024-08-25 16:47:47 epoch: 8, loss: 3.8375680446624756
2024-08-25 17:13:50 epoch: 9, loss: 3.8012192249298096
2024-08-25 17:40:00 epoch: 10, loss: 3.599468231201172
2024-08-25 18:06:06 epoch: 11, loss: 3.68693470954895
2024-08-25 18:32:11 epoch: 12, loss: 3.5286338329315186
2024-08-25 18:58:15 epoch: 13, loss: 3.66267991065979
2024-08-25 19:24:14 epoch: 14, loss: 3.3942716121673584
2024-08-25 19:50:20 epoch: 15, loss: 3.565363645553589
2024-08-25 20:16:33 epoch: 16, loss: 3.4137346744537354
2024-08-25 20:42:40 epoch: 17, loss: 3.559943914413452
2024-08-25 21:08:50 epoch: 18, loss: 3.2977967262268066
2024-08-25 21:35:07 epoch: 19, loss: 3.49275279045105
2024-08-25 22:01:12 epoch: 20, loss: 3.2807095050811768
2024-08-25 22:27:14 epoch: 21, loss: 3.1941516399383545
2024-08-25 22:53:25 epoch: 22, loss: 3.2425179481506348
2024-08-25 23:19:37 epoch: 23, loss: 3.2014124393463135
2024-08-25 23:45:41 epoch: 24, loss: 3.141448736190796
2024-08-26 00:11:49 epoch: 25, loss: 3.2124805450439453
2024-08-26 00:38:07 epoch: 26, loss: 3.314528465270996
2024-08-26 01:04:27 epoch: 27, loss: 3.11214017868042
2024-08-26 01:30:42 epoch: 28, loss: 3.2269880771636963
2024-08-26 01:56:54 epoch: 29, loss: 3.184643507003784
2024-08-26 02:23:15 epoch: 30, loss: 3.099247455596924
2024-08-26 02:49:38 epoch: 31, loss: 3.095378875732422
2024-08-26 03:15:57 epoch: 32, loss: 2.9496965408325195
2024-08-26 03:42:12 epoch: 33, loss: 3.1911261081695557
2024-08-26 04:08:28 epoch: 34, loss: 3.3674514293670654
2024-08-26 04:34:53 epoch: 35, loss: 3.0308213233947754
2024-08-26 05:01:17 epoch: 36, loss: 3.1141841411590576
2024-08-26 05:27:35 epoch: 37, loss: 3.2020950317382812
2024-08-26 05:53:56 epoch: 38, loss: 3.0491275787353516
2024-08-26 06:20:19 epoch: 39, loss: 3.0224897861480713
2024-08-26 06:46:51 epoch: 40, loss: 2.990811347961426
2024-08-26 07:13:15 epoch: 41, loss: 2.9220468997955322
2024-08-26 07:39:43 epoch: 42, loss: 3.0036094188690186
2024-08-26 08:06:15 epoch: 43, loss: 2.8846981525421143
2024-08-26 08:32:43 epoch: 44, loss: 2.8984529972076416
2024-08-26 08:59:09 epoch: 45, loss: 2.7192482948303223
2024-08-26 09:25:30 epoch: 46, loss: 2.8534374237060547
2024-08-26 09:51:40 epoch: 47, loss: 3.029474973678589
2024-08-26 10:17:44 epoch: 48, loss: 2.8668065071105957
2024-08-26 10:43:47 epoch: 49, loss: 2.896329402923584
