2024-09-01 04:50:59 epoch: 0, loss: 2.559021234512329
2024-09-01 04:56:34 epoch: 1, loss: 2.4992074966430664
2024-09-01 05:02:14 epoch: 2, loss: 2.414281129837036
2024-09-01 05:07:52 epoch: 3, loss: 2.3919739723205566
2024-09-01 05:13:25 epoch: 4, loss: 2.6329312324523926
2024-09-01 05:18:57 epoch: 5, loss: 2.5279793739318848
2024-09-01 05:24:34 epoch: 6, loss: 2.2919912338256836
2024-09-01 05:30:12 epoch: 7, loss: 2.5642342567443848
2024-09-01 05:35:48 epoch: 8, loss: 2.622849464416504
2024-09-01 05:41:24 epoch: 9, loss: 2.854996681213379
2024-09-01 05:47:05 epoch: 10, loss: 2.586742401123047
2024-09-01 05:52:40 epoch: 11, loss: 2.9533579349517822
2024-09-01 05:58:22 epoch: 12, loss: 2.4858591556549072
2024-09-01 06:04:02 epoch: 13, loss: 2.5664498805999756
2024-09-01 06:09:41 epoch: 14, loss: 2.6136486530303955
2024-09-01 06:15:20 epoch: 15, loss: 2.5498008728027344
2024-09-01 06:20:58 epoch: 16, loss: 2.670607805252075
2024-09-01 06:26:39 epoch: 17, loss: 2.4710781574249268
2024-09-01 06:32:19 epoch: 18, loss: 2.682800054550171
2024-09-01 06:37:58 epoch: 19, loss: 2.6971662044525146
